#{"t_start": 1729508999.90225, "env_id": "CarRacing-v2"}
r,l,t
-17.491749,1000,66.231541
-31.547619,1000,134.480358
-30.930931,1000,201.649888
-27.710843,1000,269.194583
-31.147541,1000,340.320951
-21.501706,1000,407.759389
-13.857678,1000,525.364516
-18.604651,1000,594.215005
-29.411765,1000,667.779348
-16.932907,1000,737.447739
-30.81761,1000,806.888997
57.718121,1000,904.716119
-18.566775,1000,1055.660612
177.580071,1000,1152.67363
-8.730159,1000,1220.519544
107.54717,1000,1291.541141
47.169811,1000,1377.696946
187.581699,1000,1473.119325
290.510949,1000,1611.872478
-8.496732,1000,1705.433094
142.236025,1000,1780.959471
-32.394366,1000,1861.151245
240.764331,1000,1975.361555
168.211921,1000,2053.964473
377.031802,1000,2130.296666
-20.742553,868,2231.636527
208.724832,1000,2304.511264
237.5,1000,2378.54509
417.799353,1000,2453.532464
480.327869,1000,2528.822919
525.0,1000,2603.531811
479.617834,1000,2726.341007
140.853659,1000,2800.748652
548.083624,1000,2875.040472
548.550725,1000,2948.614913
536.363636,1000,3022.303337
206.25,1000,3097.66513
217.567568,1000,3218.938748
593.661972,1000,3292.373904
245.394737,1000,3367.170058
546.428571,1000,3441.245636
282.838284,1000,3515.888647
602.265372,1000,3592.100518
719.188192,1000,3719.834813
641.721854,1000,3796.389157
90.140845,1000,3872.617228
613.768116,1000,3949.608197
627.586207,1000,4025.849925
593.877551,1000,4099.757269
227.586207,1000,4180.433396
36.363636,1000,4307.022033
651.004016,1000,4383.195795
438.461538,1000,4469.87614
95.571956,1000,4552.948466
53.558052,1000,4629.634608
527.986348,1000,4704.635833
738.129496,1000,4824.878521
558.914729,1000,4895.272583
598.113208,1000,4966.600299
46.153846,1000,5034.61939
865.909091,1000,5104.190837
576.579926,1000,5176.124574
722.463768,1000,5320.817541
353.416149,1000,5398.352496
603.832753,1000,5491.825999
692.64214,1000,5608.072037
702.919708,1000,5707.439897
682.00692,1000,5807.86208
812.727273,1000,6034.641301
545.768025,1000,6144.792461
687.00361,1000,6255.170488
793.835616,1000,6393.393923
379.623824,1000,6532.567903
241.137124,1000,6672.655382
681.456954,1000,6815.932466
786.206897,1000,6987.157535
851.612903,1000,7068.333093
13.637736,525,7108.384048
691.666667,1000,7210.909841
641.610738,1000,7322.91817
631.343284,1000,7396.860035
743.75,1000,7520.616749
590.322581,1000,7596.288603
756.65529,1000,7675.84859
867.625899,1000,7758.613932
675.811209,1000,7843.029389
684.810127,1000,7931.59797
279.62963,1000,8016.939855
747.457627,1000,8150.703494
375.609756,1000,8231.91745
309.52381,1000,8312.853531
824.914676,1000,8393.401062
90.461017,893,8466.691902
327.529967,970,8544.572869
404.885993,1000,8721.879352
692.993631,1000,8863.723016
785.416667,1000,9011.903368
867.032967,1000,9155.320916
891.869919,1000,9270.752345
761.111111,1000,9353.369865
740.531561,1000,9484.798484
751.06383,1000,9569.608629
654.545455,1000,9660.34787
655.700326,1000,9789.561607
694.573643,1000,9877.396167
818.918919,1000,9961.074786
613.333333,1000,10097.632231
757.142857,1000,10181.538827
445.454545,1000,10266.597991
582.098765,1000,10352.993378
773.646209,1000,10442.729522
712.297735,1000,10524.938065
643.589744,1000,10611.488438
607.395498,1000,10758.013846
716.949153,1000,10870.994447
559.574468,1000,10954.708215
169.154545,764,11039.93415
706.569343,1000,11151.906162
525.41806,1000,11285.123666
812.21374,1000,11519.325291
640.131579,1000,11661.582901
674.410774,1000,11806.055725
781.72043,1000,11948.270848
756.140351,1000,12088.099869
895.918367,1000,12229.042651
667.295597,1000,12486.492354
140.334646,826,12549.102036
678.911565,1000,12627.917156
552.597403,1000,12703.719719
849.019608,1000,12798.986854
587.697161,1000,12954.975088
678.52349,1000,13091.495864
668.253968,1000,13274.862346
645.583039,1000,13374.061067
725.657895,1000,13474.615381
149.790228,793,13554.942688
793.103448,1000,13708.125308
776.494024,1000,13866.308054
500.628931,1000,14130.125633
858.174905,1000,14288.901655
663.066202,1000,14448.067267
718.815331,1000,14610.566545
533.986928,1000,14761.811756
718.532819,1000,14939.083138
845.3125,1000,21598.178691
698.076923,1000,21806.226253
678.571429,1000,21880.935258
551.757188,1000,21957.705701
769.565217,1000,22027.480074
625.663717,1000,22110.56592
574.050633,1000,22200.345526
