#{"t_start": 1729511790.5134616, "env_id": "CarRacingCustomTest-v0"}
r,l,t
27533.690406,1000,70.37622
64852.22929,1000,142.065978
47605.927261,1000,214.128772
36829.309087,1000,286.641477
34279.129875,1000,361.082625
33798.112808,1000,433.646227
36075.799744,1000,556.15926
69931.532278,1000,629.127562
71769.870616,1000,703.089673
34116.648901,1000,778.973417
61244.105721,1000,854.995665
91012.281059,1000,935.010047
43970.992742,1000,1063.032552
67804.709411,1000,1138.863609
34891.202155,1000,1216.674376
63830.134805,1000,1290.35311
93746.773343,1000,1370.325843
52113.781476,1000,1443.437284
114811.330866,1000,1571.862347
89157.673936,1000,1651.678702
56970.886148,1000,1741.241717
75340.6572,1000,1818.977784
119601.465863,1000,1894.991729
134323.191178,1000,1967.293092
56999.004679,1000,2038.155427
90560.244912,1000,2158.047968
115562.070809,1000,2226.682367
127636.183558,1000,2296.414608
168015.915204,1000,2368.232565
157286.200582,1000,2441.725274
159127.614724,1000,2543.420978
47938.053607,1000,2676.705262
136678.435431,1000,2797.304725
45600.544716,1000,2897.416347
209294.884436,1000,2996.940492
57274.888993,1000,3127.470983
151508.71277,1000,3258.99396
150256.433398,1000,3443.059064
265047.580808,1000,3573.421743
186855.726405,1000,3709.335007
127923.038844,1000,3850.78389
81795.469744,1000,3990.88008
243700.890736,1000,4121.377258
243217.840828,1000,4255.247548
252822.564219,1000,4335.443762
184895.291491,1000,4444.10078
168986.749882,1000,4547.78157
301638.168018,1000,4620.481872
234583.826324,1000,4693.718727
127994.873888,1000,4770.524042
251907.282568,1000,4902.470888
205899.500245,1000,4984.215499
195396.495585,1000,5069.101717
233457.594054,1000,5155.538649
257579.978897,1000,5239.752033
290630.603798,1000,5321.580575
277223.393357,1000,5456.349229
182988.96471,1000,5535.980292
120657.814682,1000,5616.02026
187175.291491,1000,5696.986184
55284.807085,1000,5776.193117
187488.531585,1000,5881.706141
234436.570001,1000,6118.644058
151185.624398,1000,6271.058368
201137.249533,1000,6409.362804
145383.035829,1000,6516.075591
152197.334725,1000,6591.095443
95437.249533,1000,6671.476592
319534.685431,1000,6815.661934
259463.8387,1000,6929.282843
251083.876369,1000,7037.052907
149012.955473,1000,7122.832965
106618.530709,1000,7205.9382
146937.249533,1000,7285.801098
229207.753863,1000,7369.501888
298700.62746,1000,7512.22897
217478.018764,1000,7599.29708
286789.230885,1000,7684.054825
200737.984634,1000,7771.330848
236335.957695,1000,7852.925896
206868.676659,1000,7938.318676
94149.568579,1000,8112.451581
214066.37942,1000,8207.889298
255907.744791,1000,8321.447238
219996.966132,1000,8443.021772
249976.529402,1000,8580.570455
267967.288837,1000,8721.021519
265160.082256,1000,8955.965425
282836.984281,1000,9098.947436
208184.358633,1000,9240.241035
247417.153712,1000,9381.936959
272265.106143,1000,9528.34797
254002.525806,1000,9686.048213
224596.590193,1000,9822.887897
292599.316474,1000,9898.00211
271177.887185,1000,9992.466948
252135.172049,1000,10139.621156
186144.992448,1000,10278.301494
251747.458016,1000,10383.462207
192267.662892,1000,10499.804871
226861.122212,1000,10666.490551
97809.466132,1000,10766.470274
212096.590193,1000,10918.793114
184146.006185,1000,11075.360206
223183.079005,1000,11233.531095
214058.584802,1000,11390.738716
263947.739044,1000,11652.968717
201150.536247,1000,11816.350596
152445.984866,1000,11964.892234
136044.343852,1000,12139.144888
211972.616465,1000,12281.173819
218495.604971,1000,18932.80345
210413.371924,1000,19088.599501
225998.583548,1000,19165.383046
271628.336224,1000,19235.14684
247591.226955,1000,19317.510292
200133.927855,1000,19406.717995
310948.937492,1000,19484.63003
273662.864125,1000,19623.407976
116753.779282,1000,19700.76103
268157.492448,1000,19779.293062
267488.441299,1000,19860.740704
227062.058499,1000,19979.57523
172840.492632,1000,20066.454854
354566.644194,1000,20135.100728
228895.582867,1000,20250.021355
239716.890944,1000,20320.034685
292597.152622,1000,20389.20994
364211.208133,1000,20466.21627
320668.018764,1000,20541.112768
186420.271016,1000,20617.801498
405076.764011,1000,20744.991085
272540.35919,1000,20819.711034
341244.143331,1000,20897.214622
350578.871477,1000,20975.502887
275769.899642,1000,21053.713702
211466.760902,1000,21131.003966
454113.116803,1000,21259.830684
289153.048704,1000,21337.826382
330691.484468,1000,21413.457691
499641.931807,1000,21506.59527
275279.473872,1000,21598.170616
376391.01528,1000,21677.298615
272908.018764,1000,21815.396098
187068.018764,1000,21884.878679
199753.384618,1000,21959.212641
304147.679781,1000,22041.786583
211902.238033,1000,22124.456599
134012.221663,1000,22205.493115
158889.495274,1000,22280.350102
223273.820812,1000,22404.162801
195426.639454,1000,22485.000328
56627.478223,1000,22565.051351
82847.264047,1000,22642.899578
256623.957461,1000,22720.931837
199198.527239,1000,22797.878979
223770.80622,1000,22931.917212
256225.257821,1000,23009.63016
241296.938625,1000,23082.023093
124811.74346,1000,23153.221232
167806.455246,1000,23236.854338
228154.129875,1000,23312.974399
139903.867821,1000,23439.970696
217834.685431,1000,23546.552937
259164.52226,1000,23654.992778
232521.402223,1000,23765.572591
236707.811152,1000,23872.323849
182441.034637,1000,23985.981014
169146.892003,1000,24169.329305
217364.929961,1000,24279.432108
112671.695235,1000,24383.519213
214723.929307,1000,24490.351803
171675.664024,1000,24599.349046
184915.559748,1000,24706.988877
212835.901976,1000,24816.569692
179775.657653,1000,24989.543342
244577.439054,1000,25090.578992
226609.799586,1000,25192.431746
206071.132951,1000,25292.423089
205636.487232,1000,25393.120147
200149.703746,1000,25500.443865
141111.913153,1000,25664.310277
232728.994374,1000,25733.475188
173673.002153,1000,25804.555171
207724.685431,1000,25879.50633
157174.268764,1000,25948.030155
221365.201863,1000,26018.055247
152647.251991,1000,26136.036909
182168.018764,1000,26205.489656
269705.273666,1000,26274.754325
275094.929063,1000,26345.228768
118568.018764,1000,26414.532895
141666.117623,1000,26484.333829
192308.083911,1000,26603.886707
155972.142475,1000,26673.262497
116260.504313,1000,26741.804293
237793.018764,1000,26811.115035
203048.720518,1000,26879.969791
260469.836946,1000,26949.675541
284568.715628,1000,27021.642475
189922.344024,1000,27146.360175
180062.058499,1000,27216.395641
299683.28594,1000,27288.588646
122897.578512,1000,27360.544549
192383.035829,1000,27432.118551
207742.486849,1000,27503.408063
143066.973468,1000,27620.042928
242921.006812,1000,27688.109442
208602.22929,1000,27759.57798
344187.626607,1000,27836.270344
313774.636411,1000,27911.939664
228080.299466,1000,27983.040891
273965.316061,1000,28100.941872
206347.585327,1000,28167.637259
218310.391645,1000,28242.057672
246948.594304,1000,28311.403419
284045.095176,1000,28381.113139
160966.183902,1000,28463.068683
330535.206264,1000,28616.974338
155922.117125,1000,28708.071682
263809.214777,1000,28801.45911
319127.725724,1000,28890.7293
297763.256859,1000,28984.915975
234830.27042,1000,29074.886775
127409.277505,1000,29166.965967
184425.444507,1000,29322.41558
141830.897552,1000,29414.504343
120705.43373,1000,29507.539183
118346.932502,1000,29582.796025
222713.473309,1000,29652.80904
295353.473309,1000,29723.206439
154003.635202,1000,29858.987667
220901.571396,1000,29954.151354
290538.522361,1000,30050.362832
192804.961439,1000,30153.498983
279586.386111,1000,30258.821648
140796.590193,1000,30361.768146
184445.796542,1000,30530.305166
117242.486849,1000,30627.798251
154907.956844,1000,30723.160861
285123.901117,1000,30804.273387
218420.726345,1000,30875.721009
163472.36659,1000,30943.129587
172746.785887,1000,31057.070819
88017.669114,1000,31124.733014
109577.271433,1000,31192.217029
169320.336645,1000,31259.043452
177769.325954,1000,31328.544145
121288.606999,1000,31396.52721
